race_id,date,venue,race_no,config,surface,distance,going,horse_ratings,prize,race_class,place_combination1,place_combination2,place_combination3,place_combination4,place_dividend1,place_dividend2,place_dividend3,place_dividend4,win_combination1,win_dividend1,win_combination2,win_dividend2
0,6/2/1997,ST,1,A,0,1400,GOOD TO FIRM,40-15,485000,5,8,11,6,,36.5,25.5,18,,8,121,,
1,6/2/1997,ST,2,A,0,1200,GOOD TO FIRM,40-15,485000,5,5,13,4,,12.5,47,33.5,,5,23.5,,
2,6/2/1997,ST,3,A,0,1400,GOOD TO FIRM,60-40,625000,4,11,1,13,,23,23,59.5,,11,70,,
3,6/2/1997,ST,4,A,0,1200,GOOD TO FIRM,120-95,1750000,1,5,3,10,,14,24.5,16,,5,52,,
4,6/2/1997,ST,5,A,0,1600,GOOD TO FIRM,60-40,625000,4,2,10,1,,15.5,28,17.5,,2,36.5,,
5,6/2/1997,ST,6,A,0,1200,GOOD TO FIRM,60-40,625000,4,9,14,8,,16.5,408,70,,9,61,,
6,6/2/1997,ST,7,A,0,1400,GOOD TO FIRM,100-80,1150000,2,5,7,6,,41.5,21.5,79,,5,160.5,,
7,6/2/1997,ST,8,A,0,1000,GOOD TO FIRM,100-80,1150000,2,13,3,8,,23.5,44.5,18,,13,70.5,,
8,6/2/1997,ST,9,A,0,1400,GOOD TO FIRM,80-60,850000,3,7,5,2,,12.5,16.5,33.5,,7,24,,
9,6/2/1997,ST,10,A,0,1200,GOOD TO FIRM,80-60,850000,3,1,13,6,,49.5,45.5,14,,1,203,,
10,6/4/1997,HV,1,A,0,1650,GOOD TO FIRM,40-15,485000,5,2,7,1,,18.5,27.5,15,,2,50,,
11,6/4/1997,HV,2,A,0,1650,GOOD TO FIRM,60-40,625000,4,2,9,4,,23.5,18,26.5,,2,59,,
12,6/4/1997,HV,3,A,0,1200,GOOD TO FIRM,60-40,625000,4,1,6,7,,14,23,15.5,,1,35,,
13,6/4/1997,HV,4,A,0,1000,GOOD TO FIRM,60-40,625000,4,1,5,8,,17.5,10.1,17.5,,1,70,,
14,6/4/1997,HV,5,A,0,1650,GOOD TO FIRM,60-40,625000,4,12,3,10,,91,34,22,,12,265.5,,
15,6/4/1997,HV,6,A,0,1000,GOOD TO FIRM,80-60,850000,3,8,2,4,,20,80,42.5,,8,66,,
